Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Name,PCA1,PCA2,Churned,Churn_Probability,Churn_Risk
12346.0,326,12,77556.46,2,4,4,244,At Risk,0,Loyal Regulars,3.3541534661092784,2.4235912130393387,1,0.18129239496037233,Low
12347.0,2,8,5633.32,4,4,4,444,Champions,4,Average Customers,0.5366720925990445,-0.798288165305768,0,0.21336365395701815,Low
12348.0,75,5,2019.4,3,3,3,333,Loyal Customers,4,Average Customers,0.0998670712239657,-0.5951413641247933,0,0.40552551158234035,Medium
12349.0,19,4,4428.6900000000005,4,3,4,434,Loyal Customers,4,Average Customers,0.2466675725116307,-0.7939555717676814,0,0.3448648515414168,Low
12350.0,310,1,334.40000000000003,2,1,1,211,Needs Attention,1,Lost / Inactive,-0.5751938606052994,0.3595019531822362,1,0.795450396011887,High
12351.0,375,1,300.93,2,1,1,211,Needs Attention,1,Lost / Inactive,-0.6851976984420701,0.6455232427921137,1,0.7954499426713469,High
12352.0,36,10,2849.84,3,4,4,344,Loyal Customers,4,Average Customers,0.4624373569201725,-0.6953246743101207,0,0.1963259845979642,Low
12353.0,204,2,406.76,2,2,2,222,Needs Attention,4,Average Customers,-0.3428082469407491,-0.0961592557340723,1,0.6318000005181716,Medium
12354.0,232,1,1079.4,2,1,3,213,Cannot Lose Them,4,Average Customers,-0.4123232805335111,0.0334334850971441,1,0.6758909094672358,Medium
12355.0,214,2,947.61,2,2,3,223,Cannot Lose Them,4,Average Customers,-0.3358216735839907,-0.0388652969310806,1,0.5568499552412286,Medium
12356.0,23,6,6373.68,4,3,4,434,Loyal Customers,4,Average Customers,0.429595151439806,-0.7082777749372408,0,0.32170560854500296,Low
12357.0,33,3,18287.66,3,2,4,324,Potential Loyalists,4,Average Customers,0.7779819393924307,-0.4051619703647982,0,0.4665544903150332,Medium
12358.0,2,5,3887.07,4,3,4,434,Loyal Customers,4,Average Customers,0.3035522050215641,-0.8718175515282265,0,0.3331565571688064,Low
12359.0,58,10,8935.94,3,4,4,344,Loyal Customers,4,Average Customers,0.6922221092139258,-0.4500942014870533,0,0.19640593494446432,Low
12360.0,52,8,4252.89,3,4,4,344,Loyal Customers,4,Average Customers,0.3927298318276145,-0.6112474289362704,0,0.21334436755233455,Low
12361.0,287,4,511.25,2,3,2,232,At Risk,1,Lost / Inactive,-0.3723948852517,0.2933332697284269,1,0.495298494166382,Medium
12362.0,3,11,5356.2300000000005,4,4,4,444,Champions,4,Average Customers,0.6795166415415477,-0.7695979491810361,0,0.18825063713651438,Low
12363.0,110,2,552.0,2,2,2,222,Needs Attention,4,Average Customers,-0.1794851057027364,-0.5074328371986244,1,0.6318028131034293,Medium
12364.0,8,4,1313.1,4,3,3,433,Loyal Customers,4,Average Customers,0.1285985456227484,-0.9183365729004668,0,0.4181569096211136,Medium
12365.0,291,2,641.38,2,2,2,222,Needs Attention,1,Lost / Inactive,-0.477807947089453,0.2934708247869798,1,0.6318045439504633,Medium
12366.0,634,1,500.24,1,1,2,112,Lost,1,Lost / Inactive,-1.1089522721081444,1.7933060322664436,1,0.7401036894972375,High
12367.0,4,1,168.9,4,1,1,411,New Customers,4,Average Customers,-0.0714772726380744,-0.9948623379263792,0,0.7954481543595712,High
12368.0,628,1,917.7,1,1,3,113,Cannot Lose Them,1,Lost / Inactive,-1.0806520800449184,1.7769906502328845,1,0.6758879607331634,Medium
12369.0,413,3,1791.15,1,2,3,123,Cannot Lose Them,1,Lost / Inactive,-0.5789590667773539,0.8701683530053622,1,0.5439485120191678,Medium
12370.0,51,7,4320.31,3,3,4,334,Loyal Customers,4,Average Customers,0.3451358825085695,-0.6243599114112053,0,0.31038410003457245,Low
12371.0,45,5,4067.38,3,3,4,334,Loyal Customers,4,Average Customers,0.2396461414494465,-0.677675399586768,0,0.3331598918160126,Low
12372.0,72,3,1298.04,3,2,3,323,Potential Loyalists,4,Average Customers,-0.0311454733067878,-0.6466207645108857,0,0.5439383290833647,Medium
12373.0,311,3,1127.65,2,2,3,223,Cannot Lose Them,1,Lost / Inactive,-0.4376934951985369,0.4039055725012586,1,0.5439348104472745,Medium
12374.0,25,4,2989.2200000000003,4,3,4,434,Loyal Customers,4,Average Customers,0.1736118135220575,-0.8025179013796456,0,0.34483777886947964,Low
12375.0,11,2,457.5,4,2,2,422,New Customers,4,Average Customers,-0.018311502480042,-0.9466064654692544,0,0.6318009831037125,Medium
12376.0,390,2,503.15,1,2,2,122,Needs Attention,1,Lost / Inactive,-0.6491731952968041,0.7269793520984581,1,0.6318018671199226,Medium
12377.0,315,4,3426.32,2,3,4,234,At Risk,1,Lost / Inactive,-0.2914938676688788,0.4878518739165036,1,0.3448459994726928,Low
12378.0,130,2,5416.32,2,2,4,224,Cannot Lose Them,4,Average Customers,0.0001354442328033,-0.3007685899827632,1,0.4793006300174973,Medium
12379.0,82,4,1620.22,3,3,3,333,Loyal Customers,4,Average Customers,0.0184813703991105,-0.5843089042406417,0,0.4181631299150702,Medium
12380.0,22,11,9676.3,4,4,4,444,Champions,4,Average Customers,0.8369733699429664,-0.5805946675255441,0,0.18830559813642606,Low
12381.0,5,5,1845.31,4,3,3,433,Loyal Customers,4,Average Customers,0.2091305883169612,-0.9082793767369184,0,0.4055220179164019,Medium
12383.0,185,5,1850.56,2,3,3,233,At Risk,4,Average Customers,-0.0912066323732221,-0.1138364643819581,1,0.405522123274101,Medium
12384.0,29,2,585.27,3,2,2,322,Potential Loyalists,4,Average Customers,-0.0427729482371426,-0.8640647833879402,0,0.6318034573786171,Medium
12385.0,379,1,1938.4,2,1,3,213,Cannot Lose Them,1,Lost / Inactive,-0.6201693543352842,0.7030338952175316,1,0.6759065738130146,Medium
12386.0,338,2,660.8000000000001,2,2,2,222,Needs Attention,1,Lost / Inactive,-0.5554389285949468,0.5013480481763276,1,0.6318049200190387,Medium
12387.0,415,1,143.94,1,1,1,111,Lost,1,Lost / Inactive,-0.7588652541361088,0.818216271255461,1,0.7954478162816019,High
12388.0,16,8,3901.11,4,4,4,444,Champions,4,Average Customers,0.437438209040594,-0.7786734619267629,0,0.2133394529307972,Low
12389.0,403,3,1433.33,1,2,3,123,Cannot Lose Them,1,Lost / Inactive,-0.5779304432040143,0.8173297004738161,1,0.5439411228843178,Medium
12390.0,80,1,549.84,3,1,2,312,Potential Loyalists,4,Average Customers,-0.1817013784755536,-0.6502120233313625,0,0.7401044836986804,High
12391.0,22,6,2773.42,4,3,4,434,Loyal Customers,4,Average Customers,0.2736034220744634,-0.8003279691410055,0,0.321640213588252,Low
12392.0,591,1,234.75000000000003,1,1,1,111,Lost,1,Lost / Inactive,-1.0487763865096142,1.5970904334135403,1,0.795449046282029,High
12393.0,72,6,2399.45,3,3,4,334,Loyal Customers,4,Average Customers,0.1737357671177432,-0.5887880383773691,0,0.32163342121517496,Low
12394.0,64,2,1272.48,3,2,3,323,Potential Loyalists,4,Average Customers,-0.071122454335669,-0.6928865934048728,0,0.5568566287566702,Medium
12395.0,19,15,5067.27,4,4,4,444,Champions,4,Average Customers,0.8490103261443984,-0.6646629908463584,0,0.15838732735990774,Low
12396.0,674,1,931.43,1,1,3,113,Cannot Lose Them,1,Lost / Inactive,-1.156862419014853,1.9803165061908572,1,0.6758882111116824,Medium
