Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Name,PCA1,PCA2
12346.0,326,12,77556.46,2,4,4,244,At Risk,0,Loyal Regulars,3.3541534661092784,2.4235912130393387
12347.0,2,8,5633.32,4,4,4,444,Champions,4,Average Customers,0.5366720925990445,-0.798288165305768
12348.0,75,5,2019.4,3,3,3,333,Loyal Customers,4,Average Customers,0.09986707122396574,-0.5951413641247933
12349.0,19,4,4428.6900000000005,4,3,4,434,Loyal Customers,4,Average Customers,0.24666757251163077,-0.7939555717676814
12350.0,310,1,334.40000000000003,2,1,1,211,Needs Attention,1,Lost / Inactive,-0.5751938606052994,0.3595019531822362
12351.0,375,1,300.93,2,1,1,211,Needs Attention,1,Lost / Inactive,-0.6851976984420701,0.6455232427921137
12352.0,36,10,2849.84,3,4,4,344,Loyal Customers,4,Average Customers,0.4624373569201725,-0.6953246743101207
12353.0,204,2,406.76,2,2,2,222,Needs Attention,4,Average Customers,-0.3428082469407491,-0.09615925573407236
12354.0,232,1,1079.4,2,1,3,213,Cannot Lose Them,4,Average Customers,-0.4123232805335111,0.033433485097144146
12355.0,214,2,947.61,2,2,3,223,Cannot Lose Them,4,Average Customers,-0.33582167358399073,-0.03886529693108061
12356.0,23,6,6373.68,4,3,4,434,Loyal Customers,4,Average Customers,0.429595151439806,-0.7082777749372408
12357.0,33,3,18287.66,3,2,4,324,Potential Loyalists,4,Average Customers,0.7779819393924307,-0.40516197036479823
12358.0,2,5,3887.07,4,3,4,434,Loyal Customers,4,Average Customers,0.30355220502156416,-0.8718175515282265
12359.0,58,10,8935.94,3,4,4,344,Loyal Customers,4,Average Customers,0.6922221092139258,-0.45009420148705337
12360.0,52,8,4252.89,3,4,4,344,Loyal Customers,4,Average Customers,0.3927298318276145,-0.6112474289362704
12361.0,287,4,511.25,2,3,2,232,At Risk,1,Lost / Inactive,-0.3723948852517,0.2933332697284269
12362.0,3,11,5356.2300000000005,4,4,4,444,Champions,4,Average Customers,0.6795166415415477,-0.7695979491810361
12363.0,110,2,552.0,2,2,2,222,Needs Attention,4,Average Customers,-0.17948510570273646,-0.5074328371986244
12364.0,8,4,1313.1,4,3,3,433,Loyal Customers,4,Average Customers,0.12859854562274842,-0.9183365729004667
12365.0,291,2,641.38,2,2,2,222,Needs Attention,1,Lost / Inactive,-0.47780794708945307,0.2934708247869798
12366.0,634,1,500.24,1,1,2,112,Lost,1,Lost / Inactive,-1.1089522721081444,1.7933060322664436
12367.0,4,1,168.9,4,1,1,411,New Customers,4,Average Customers,-0.07147727263807443,-0.9948623379263792
12368.0,628,1,917.7,1,1,3,113,Cannot Lose Them,1,Lost / Inactive,-1.0806520800449184,1.7769906502328843
12369.0,413,3,1791.15,1,2,3,123,Cannot Lose Them,1,Lost / Inactive,-0.5789590667773539,0.8701683530053622
12370.0,51,7,4320.31,3,3,4,334,Loyal Customers,4,Average Customers,0.3451358825085695,-0.6243599114112053
12371.0,45,5,4067.38,3,3,4,334,Loyal Customers,4,Average Customers,0.23964614144944654,-0.677675399586768
12372.0,72,3,1298.04,3,2,3,323,Potential Loyalists,4,Average Customers,-0.031145473306787814,-0.6466207645108857
12373.0,311,3,1127.65,2,2,3,223,Cannot Lose Them,1,Lost / Inactive,-0.4376934951985369,0.4039055725012586
12374.0,25,4,2989.2200000000003,4,3,4,434,Loyal Customers,4,Average Customers,0.1736118135220575,-0.8025179013796456
12375.0,11,2,457.5,4,2,2,422,New Customers,4,Average Customers,-0.018311502480042055,-0.9466064654692544
